date,Germany_JHU,Austria_JHU,France_JHU,Germany_infectious_BMP,Germany_recovered_BMP,TS_infectious_LR,TS_recovered_LR
2020-04-11,124908,13806,94863,63360,60926,530,60
2020-04-12,127854,13945,121712,64201,63256,522,86
2020-04-13,130072,14041,125394,62238,65968,518,98
2020-04-14,131359,14226,130365,60998,70359,524,113
2020-04-15,134753,14336,133585,57867,75587,519,141
2020-04-16,137698,14476,146075,55743,80824,534,174
2020-04-17,141397,14595,148084,52356,87344,533,220
2020-04-18,143342,14671,148086,53307,89851,527,247
2020-04-19,145184,14749,153011,52596,92586,543,247
2020-04-20,147065,14795,155393,50445,96206,546,256
2020-04-21,148291,14873,158168,48056,100233,554,271
2020-04-22,150648,14925,155980,45410,104650,568,285
2020-04-23,153129,15002,158303,42616,108667,519,362
2020-04-24,154999,15071,159952,42020,112523,510,391
2020-04-25,156513,15148,161644,40490,115634,533,397
2020-04-26,157770,15225,162220,39554,117939,527,414
2020-04-27,158758,15274,165963,37837,120550,523,439
2020-04-28,159912,15357,169053,35814,123615,508,482
2020-04-29,161539,15402,166543,34372,126799,493,520
2020-04-30,163009,15452,167299,32456,130072,480,573
2020-05-01,164077,15531,167305,30326,133608,439,626
2020-05-02,164967,15558,168518,29171,135794,419,647
2020-05-03,165664,15597,168925,28095,137468,407,662
2020-05-04,166152,15621,169583,26277,139635,348,727
2020-05-05,167007,15650,170687,24433,142271,312,764
2020-05-06,168162,15684,174224,22844,144971,261,833
2020-05-07,169430,15752,174918,22032,147396,246,871
2020-05-08,170588,15774,176202,21083,149404,242,885
2020-05-09,171324,15833,176782,20403,150919,235,897
2020-05-10,171879,15871,177094,19643,152135,226,907
2020-05-11,172576,15882,177547,19245,153270,185,952
2020-05-12,173171,15961,178349,18020,155020,175,962
2020-05-13,174098,15997,178184,17537,156559,146,991
2020-05-14,174478,16058,178994,16292,158184,129,1012
2020-05-15,175233,16109,179630,15737,159494,122,1020
2020-05-16,175752,16201,179630,15212,160538,86,1058
2020-05-17,176369,16242,179693,14394,161973,53,1091
2020-05-18,176551,16269,180051,13505,163044,45,1099
2020-05-19,177778,16321,180933,14014,163762,38,1109
2020-05-20,178473,16353,181700,13361,165110,31,1121
2020-05-21,179021,16404,181951,12456,166290,27,1125
2020-05-22,179710,16436,182015,12416,167292,26,1131
2020-05-23,179986,16486,182036,11966,167977,22,1136
